ParameterGroup,ParameterName,GUID,DataType,BindingType,Description,RevitCategory
BLE_ELES,BLE_ROOF_SLOPE_DEG,8d51616d-812b-58d6-a3c2-3ef872fc3ed0,NUMBER,Type,ROOFSLOPE(DEGREES),Doors
BLE_ELES,BLE_ROOF_SLOPE_DEG,8d51616d-812b-58d6-a3c2-3ef872fc3ed0,NUMBER,Type,ROOFSLOPE(DEGREES),Windows
BLE_ELES,BLE_ROOF_SOLAR_REFLECTANCE_INDEX_NR,bd6b9e9b-777a-517c-bde4-597df17f6d94,NUMBER,Type,SOLARREFLECTANCEINDEX,Doors
BLE_ELES,BLE_ROOF_SOLAR_REFLECTANCE_INDEX_NR,bd6b9e9b-777a-517c-bde4-597df17f6d94,NUMBER,Type,SOLARREFLECTANCEINDEX,Windows
BLE_ELES,BLE_ROOF_STRUCTURE_TYPE_TXT,64ed7ace-2c12-5bfb-86be-314ee494b706,TEXT,Type,ROOFSTRUCTURETYPE,Doors
BLE_ELES,BLE_ROOF_STRUCTURE_TYPE_TXT,64ed7ace-2c12-5bfb-86be-314ee494b706,TEXT,Type,ROOFSTRUCTURETYPE,Windows
BLE_ELES,BLE_ROOF_TYPE_TXT,85a719ec-5f20-5541-994f-b588c8491fbe,TEXT,Type,ROOFTYPE(FLAT/PITCHED/CURVED),Doors
BLE_ELES,BLE_ROOF_TYPE_TXT,85a719ec-5f20-5541-994f-b588c8491fbe,TEXT,Type,ROOFTYPE(FLAT/PITCHED/CURVED),Windows
BLE_ELES,BLE_ROOF_WATERPROOFING_SYSTEM_TXT,ff29c3dc-01cd-5c14-b41e-c1d8fca3cfc9,TEXT,Type,WATERPROOFINGSYSTEM,Doors
BLE_ELES,BLE_ROOF_WATERPROOFING_SYSTEM_TXT,ff29c3dc-01cd-5c14-b41e-c1d8fca3cfc9,TEXT,Type,WATERPROOFINGSYSTEM,Windows
BLE_ELES,BLE_ROOM_NAME_TXT,0bf56335-3e98-58cb-81eb-a998c017d657,TEXT,Type,ROOMNAME,Doors
BLE_ELES,BLE_ROOM_NAME_TXT,0bf56335-3e98-58cb-81eb-a998c017d657,TEXT,Type,ROOMNAME,Windows
BLE_ELES,BLE_ROOM_NUMBER_TXT,08c45bc2-6903-5a41-b295-9c3111de6882,TEXT,Type,ROOMNUMBER,Doors
BLE_ELES,BLE_ROOM_NUMBER_TXT,08c45bc2-6903-5a41-b295-9c3111de6882,TEXT,Type,ROOMNUMBER,Windows
BLE_ELES,BLE_STRUCT_BEAM_SZ_TXT,7cead505-38f5-57a5-9425-b349170a9ee7,TEXT,Type,BEAMSIZE,Doors
BLE_ELES,BLE_STRUCT_BEAM_SZ_TXT,7cead505-38f5-57a5-9425-b349170a9ee7,TEXT,Type,BEAMSIZE,Structural Columns
BLE_ELES,BLE_STRUCT_BEAM_SZ_TXT,7cead505-38f5-57a5-9425-b349170a9ee7,TEXT,Type,BEAMSIZE,Structural Framing
BLE_ELES,BLE_STRUCT_BEAM_SZ_TXT,7cead505-38f5-57a5-9425-b349170a9ee7,TEXT,Type,BEAMSIZE,Windows
